ID,FIPS ,Lat,Long
137,48201251401,30.081121,-95.191382
138,48201251402,30.073252,-95.200803
139,48201251501,30.080016,-95.171783
140,48201251502,30.05803886,-95.1701855
141,48201251503,30.073505,-95.185089
142,48201251600,30.09767,-95.116909
143,48201251700,30.02497845,-95.08752713
144,48201251800,29.966175,-95.0262
145,48201251901,29.97680872,-95.11420391
146,48201251902,29.915471,-95.084058
147,48201252000,29.88602522,-95.17083773
148,48201252100,29.878426,-95.139778
149,48201252200,29.83856725,-95.15546835
150,48201252301,29.79488898,-95.14638214
151,48201252302,29.81063551,-95.12571486
152,48201252400,29.784434,-95.142534
153,48201252500,29.774315,-95.120677
154,48201252600,29.82450728,-95.10626884
155,48201252700,29.91015,-95.041694
156,48201252800,29.867783,-95.045932
157,48201252900,29.80864996,-95.05626808
158,48201253000,29.813965,-95.021125
159,48201253100,29.82135153,-94.96736994
160,48201253200,29.79645966,-94.98286418
161,48201253300,29.774641,-95.040675
162,48201253400,29.7615153,-95.01056067
163,48201253500,29.77775598,-95.01518333
164,48201253600,29.76021196,-94.99548355
165,48201253700,29.760785,-94.970835
166,48201253800,29.764054,-94.947703
167,48201253900,29.746797,-94.939779
168,48201254000,29.734273,-94.943775
169,48201254100,29.74427,-94.957321
170,48201254200,29.729196,-94.964242
171,48201254300,29.742425,-94.971696
172,48201254400,29.725222,-94.976195
173,48201254500,29.73212408,-95.01363062
174,48201254600,29.722284,-94.9967
175,48201254700,29.717408,-94.95086
176,48201310100,29.75452081,-95.34097424
177,48201310200,29.743259,-95.351062
178,48201310300,29.73805,-95.335737
179,48201310400,29.749275,-95.330576
180,48201310500,29.744267,-95.320143
181,48201310600,29.731618,-95.32601
182,48201310700,29.720521,-95.314696
183,48201310800,29.729714,-95.313586
184,48201310900,29.735941,-95.300993
185,48201311000,29.74322335,-95.30206335
186,48201311100,29.731183,-95.286178
187,48201311200,29.719606,-95.296491
188,48201311300,29.709472,-95.295025
189,48201311400,29.717464,-95.276875
190,48201311500,29.70782453,-95.27895274
191,48201311600,29.702328,-95.287105
192,48201311700,29.70400526,-95.30590855
193,48201311800,29.706047,-95.317363
194,48201311900,29.715215,-95.322794
195,48201312000,29.715438,-95.34862
196,48201312100,29.71873836,-95.34012367
197,48201312200,29.731344,-95.350363
198,48201312300,29.737909,-95.36002
199,48201312400,29.729683,-95.361089
200,48201312500,29.74074326,-95.36816922
201,48201312600,29.72189936,-95.38208042
202,48201312700,29.72692,-95.368023
203,48201312800,29.721322,-95.357239
204,48201312900,29.71523068,-95.3633079
205,48201313000,29.719505,-95.372423
206,48201313100,29.71167461,-95.394218
207,48201313200,29.70448116,-95.3582529
208,48201313300,29.701703,-95.334579
209,48201313400,29.694762,-95.339107
210,48201313500,29.690029,-95.346914
211,48201313600,29.690461,-95.358658
212,48201313700,29.696633,-95.365716
213,48201313800,29.68324815,-95.37524542
214,48201313900,29.69713869,-95.38593708
215,48201314001,29.695639,-95.390845
216,48201314002,29.68876854,-95.39780871
217,48201314300,29.68633868,-95.41468141
218,48201314400,29.68821974,-95.40616577
219,48201320100,29.695582,-95.281127
220,48201320200,29.69430586,-95.26543484
221,48201320500,29.694654,-95.246126
222,48201320601,29.682356,-95.262902
223,48201320602,29.676659,-95.25972
224,48201320700,29.675331,-95.249174
225,48201320800,29.660361,-95.240662
226,48201320900,29.64635178,-95.23169208
227,48201321000,29.63895937,-95.22139828
228,48201321100,29.61811287,-95.20061417
229,48201321200,29.641057,-95.202316
230,48201321300,29.64863707,-95.21782273
231,48201321401,29.665269,-95.225433
232,48201321402,29.65673,-95.219127
233,48201321500,29.664778,-95.211939
234,48201321600,29.67667,-95.217855
235,48201321700,29.67971,-95.23622
236,48201321800,29.688234,-95.237936
237,48201321900,29.694441,-95.225408
238,48201322000,29.702652,-95.218069
239,48201322100,29.690358,-95.209966
240,48201322200,29.70239,-95.212651
241,48201322600,29.697283,-95.157603
242,48201322700,29.70010744,-95.17091202
243,48201322800,29.705253,-95.179559
244,48201322900,29.702841,-95.192075
245,48201323000,29.695769,-95.187929
246,48201323100,29.691413,-95.173372
247,48201323200,29.686745,-95.182565
248,48201323300,29.686083,-95.200182
249,48201323400,29.677442,-95.200057
250,48201323500,29.663874,-95.202221
251,48201323600,29.6441558,-95.18759548
252,48201323701,29.657016,-95.179003
253,48201323702,29.64539,-95.176885
254,48201323801,29.675038,-95.188904
255,48201323802,29.674116,-95.178279
256,48201323900,29.675247,-95.164898
257,48201324000,29.648287,-95.168974
258,48201324100,29.7194151,-95.18273338
259,48201324200,29.718236,-95.260942
260,48201330100,29.63798919,-95.42551496
261,48201330200,29.636688,-95.457153
262,48201330301,29.634965,-95.472496
263,48201330302,29.615399,-95.474508
264,48201330303,29.626377,-95.496659
265,48201330400,29.617345,-95.454691
266,48201330500,29.62408,-95.430236
267,48201330600,29.61366,-95.434231
268,48201330700,29.600383,-95.44726
269,48201330800,29.59933407,-95.35874138
270,48201330900,29.61348801,-95.40470907
271,48201331100,29.673566,-95.368933
272,48201331200,29.663193,-95.368456
273,48201331300,29.648513,-95.376185
